Id,time
0,0.849519564
1,7.553227345
2,0.163683776
3,0.997485671
4,1.497734461
5,5.995151746
6,2.40222624
7,0.362950376
8,10.66044441
9,0.267957148
10,2.755860535
11,17.66986166
12,0.485928374
13,28.0242277
14,0.163683776
15,0.472316673
16,0.163683776
17,7.300074414
18,2.251818573
19,0.399193334
20,0.163683776
21,0.187333405
22,0.163683776
23,0.163683776
24,1.151090954
25,1.374298082
26,0.293602596
27,1.883034279
28,0.623706055
29,1.904135326
30,13.93001606
31,1.758727543
32,0.354265907
33,6.582142178
34,6.490555014
35,0.275942688
36,2.05700603
37,0.937323487
38,0.434660733
39,2.114247885
40,2.633354688
41,6.591286504
42,0.407482654
43,2.965599676
44,0.558393633
45,1.760448571
46,1.78822428
47,0.215817692
48,2.342613193
49,0.457962439
50,0.163683776
51,16.69899822
52,0.163683776
53,5.068566475
54,14.96828791
55,0.163683776
56,0.275836423
57,0.581187764
58,0.163683776
59,0.333594689
60,0.879446662
61,5.006065185
62,0.163683776
63,4.613881616
64,1.30852849
65,8.595820861
66,0.163683776
67,0.202602161
68,10.58635109
69,0.677310691
70,0.163683776
71,0.420881729
72,8.024742594
73,0.163683776
74,4.686602184
75,0.163683776
76,0.887972882
77,2.606107554
78,2.437959569
79,0.838507738
80,6.105106221
81,4.129511114
82,4.251892471
83,0.29851475
84,0.52017582
85,2.847831169
86,4.25235905
87,0.163683776
88,3.480650382
89,0.626522646
90,2.131477996
91,0.607501967
92,1.318553686
93,9.231602863
94,2.811472226
95,3.000484418
96,35.69932757
97,0.163683776
98,0.439100719
99,0.163683776
